;p1;p2;p3;p4;p5;p6;p7;p8
1;20938.199999267;27516.4;19140.2;24812.2;7113.6;0.0;7010.000000000001;0.0
2;21777.79999992;42304.8;31229.4;30838.4;7684.0;0.0;10968.0;110.0
3;42257.6000001;80403.6;51490.2;52597.8;12765.2;0.0;21217.6;0.0
4;29166.60000008;55664.4;31627.0;20512.2;6409.799999999999;0.0;5278.0;138.0
5;73885.99999989;116600.79999999999;89456.8;63549.8;22941.8;0.0;22389.6;3671.0
6;95728.60000032;155827.0;135867.4;104970.6;15261.4;0.0;11417.8;9756.0
7;124533.00000157101;104785.6;108463.6;113278.6;7769.4;0.0;21636.0;713.0
8;290001.8000012;184477.6;155817.8;155678.6;22603.4;0.0;34455.4;2724.0
9;159222.9999997;134271.0;120878.20000000001;87078.6;20690.6;0.0;23927.4;0.0
10;247203.2000005;150972.8;196469.0;124109.0;11932.0;0.0;12973.199999999999;2953.0
11;112841.2;77272.4;235340.2;142514.4;7120.0;0.0;1683.0;3003.0
12;212603.19999907998;126647.8;148444.8;109458.4;22184.0;0.0;20847.800000000003;9981.0
13;131226.0;104367.2;77642.8;68689.6;13878.2;0.0;3809.4;5318.0
14;134157.0;172272.8;161112.40000000002;123270.20000000001;8693.6;0.0;23952.4;9807.0
15;64360.6;119364.2;86099.79999999999;73152.8;11127.6;0.0;14302.6;1799.0
16;36921.2;114968.79999999999;99344.4;42092.2;15749.4;0.0;6190.4;6761.0
17;57205.0;164022.2;167559.0;74127.8;28806.800000000003;0.0;13870.4;2197.0
18;33248.0;72898.6;116253.4;44157.0;7939.0;0.0;3384.4;2785.0
19;39413.4;125371.2;121231.79999999999;56277.0;15666.4;0.0;10441.0;5944.0
20;107599.59999664;188492.0;123806.79999999999;165127.2;35227.2;0.0;26232.8;7337.0
21;50915.399999998;138849.0;122029.2;83547.0;37036.0;0.0;19625.0;3711.0
22;16373.4;73544.2;76803.79999999999;40169.8;18616.0;0.0;4087.2000000000003;2604.0
23;49782.8;137068.4;143115.8;90726.8;30731.2;0.0;15997.0;12002.0
24;41921.399999999994;104522.8;82573.0;48185.799999999996;5912.0;0.0;3736.0;1170.0
25;26123.0;89694.79999999999;71073.20000000001;50488.600000000006;5975.0;0.0;13110.2;10686.0
26;41155.8;115849.6;102903.8;58559.0;9844.8;0.0;9693.8;1967.0
27;4985.0;27490.0;28464.2;8376.0;2166.0;0.0;0.0;0.0
28;18252.4;24879.4;23458.2;17594.6;0.0;0.0;2303.0;18760.0
