;p1;p2;p3;p4;p5;p6;p7;p8
1;22068.4;18390.4;26253.800000000003;24812.200000000004;7995.8;0.0;7010.000000000001;0.0
2;28357.6;31785.399999999998;38913.4;30838.4;3939.6000000000004;0.0;10968.0;110.0
3;64598.0;55839.6;64255.399999999994;52597.8;2223.6;0.0;21217.6;0.0
4;42275.8;35851.8;38036.8;20512.2;6703.4000000000015;0.0;5278.0;138.0
5;88972.4;98525.6;112398.6;63549.8;2988.8;0.0;22389.600000000002;3671.0
6;108853.0;124852.0;151128.8;104970.6;17850.6;0.0;11417.8;9756.0
7;120455.2;88986.8;116233.0;113278.6;19876.6;0.0;21636.0;713.0
8;272017.4;136619.4;178421.2;155678.6;65842.6;0.0;34455.4;2724.0
9;144858.0;113624.4;141568.8;87078.6;35011.6;0.0;23927.4;0.0
10;233355.8;115524.79999999999;208401.0;124109.0;49295.4;0.0;12973.199999999999;2953.0
11;99807.8;64396.0;242460.2;142514.4;25909.800000000003;0.0;1683.0;3003.0
12;175908.0;97068.0;170628.8;109458.4;66275.0;0.0;20847.800000000003;9981.0
13;122269.8;86456.0;91521.0;68689.6;26867.4;0.0;3809.4;5318.0
14;129947.2;145282.6;169806.0;123270.20000000001;31200.0;0.0;23952.4;9807.0
15;67446.59999999999;103534.4;97227.4;73152.8;12743.800000000001;0.0;14302.6;1799.0
16;50806.6;97754.0;115093.79999999999;42092.2;3329.4;0.0;6190.4;6761.0
17;71824.4;144901.6;196365.8;74127.8;4501.200000000001;0.0;13870.4;2197.0
18;35623.0;69971.6;124192.4;44157.0;552.0;0.0;3384.4;2785.0
19;43300.4;113466.20000000001;136898.2;56277.0;8018.0;0.0;10441.0;5944.0
20;132924.0;140332.2;159034.0;165127.2;22835.399999999998;0.0;26232.8;7337.0
21;54057.2;129025.20000000001;159065.2;83547.0;6682.0;0.0;19625.0;3711.0
22;23835.6;66082.0;95419.79999999999;40169.8;0.0;0.0;4087.2000000000003;2604.0
23;78425.0;108426.2;173847.0;90726.8;0.0;0.0;15997.0;12002.0
24;48038.399999999994;98405.8;88485.0;48185.8;0.0;0.0;3736.0;1170.0
25;38597.2;77220.6;77048.20000000001;50488.600000000006;0.0;0.0;13110.2;10686.0
26;65053.6;91951.79999999999;112748.6;58559.0;0.0;0.0;9693.800000000001;1967.0
27;6828.0;25647.0;30630.2;8376.0;0.0;0.0;0.0;0.0
28;18252.4;24879.4;23458.2;17594.6;0.0;0.0;2303.0;18760.0
