Distrito;p1;p2;p3;p4;p5;p6;p7;p8
1;1;0;1;1;0;0;0;0
2;1;0;1;1;0;0;0;0
3;1;1;2;1;0;0;0;0
4;2;1;1;1;0;0;0;0
5;2;1;3;1;0;0;0;0
6;3;1;2;2;0;0;0;0
7;3;1;2;2;0;0;0;0
8;3;1;2;2;0;0;0;0
9;3;1;2;1;0;0;0;0
10;4;1;2;1;0;0;0;0
11;1;0;3;2;0;0;0;0
12;3;0;2;1;1;0;0;0
13;3;0;1;1;0;0;0;0
14;2;1;2;1;0;0;0;0
15;2;1;1;1;0;0;0;0
16;1;1;2;0;0;0;0;0
17;1;2;3;1;0;0;0;0
18;1;0;2;1;0;0;0;0
19;1;1;2;1;0;0;0;0
20;2;2;2;2;0;0;0;0
21;1;1;2;1;0;0;0;0
22;1;0;2;1;0;0;0;0
23;2;1;3;1;0;0;0;0
24;2;0;2;1;0;0;0;0
25;1;1;1;1;0;0;0;0
26;1;1;2;1;0;0;0;0
27;1;1;1;0;0;0;0;0
28;1;1;1;0;0;0;0;0
